Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Monthly % Change
10/1/95,582.92,13.65,34.77,153.7,6.04,947.52,22.19,56.52,23.93,2.163247101
11/1/95,595.53,13.72,34.37,153.6,5.93,968.65,22.32,55.9,24.35,3.197152117
12/1/95,614.57,13.79,33.96,153.5,5.71,1000.27,22.44,55.27,25.03,-0.024407309
1/1/96,614.42,13.89,33.99,154.4,5.65,994.2,22.48,54.99,24.76,5.715959767
2/1/96,649.54,14,34.01,154.9,5.81,1047.63,22.58,54.86,25.98,-0.380269114
3/1/96,647.07,14.1,34.04,155.7,6.27,1038.29,22.62,54.62,25.63,0.015454279
4/1/96,647.17,14.16,34.33,156.3,6.51,1034.46,22.63,54.87,25.42,2.17253581
5/1/96,661.23,14.21,34.62,156.6,6.74,1054.91,22.68,55.23,25.81,1.099466146
6/1/96,668.5,14.27,34.91,156.7,6.91,1065.83,22.75,55.66,25.97,-3.654450262
7/1/96,644.07,14.4,35.27,157,6.87,1024.91,22.91,56.13,24.86,2.889437484
8/1/96,662.68,14.53,35.64,157.3,6.64,1052.52,23.08,56.6,25.41,1.841009235
9/1/96,674.88,14.66,36,157.8,6.83,1068.5,23.21,57,25.68,3.938477952
10/1/96,701.46,14.74,36.91,158.3,6.53,1107.07,23.26,58.25,26.48,4.876970889
11/1/96,735.67,14.82,37.82,158.6,6.2,1158.87,23.35,59.58,27.59,1.030353283
12/1/96,743.25,14.9,38.73,158.6,6.3,1170.81,23.47,61.01,27.72,3.090480996
1/1/97,766.22,14.95,39.23,159.1,6.58,1203.2,23.48,61.61,28.33,4.198533058
2/1/97,798.39,15.01,39.74,159.6,6.42,1249.79,23.49,62.2,29.27,-0.780320395
3/1/97,792.16,15.06,40.24,160,6.69,1236.94,23.52,62.83,28.8,-3.563674005
4/1/97,763.93,15.09,40.34,160.2,6.89,1191.37,23.54,62.92,27.59,9.053185501
5/1/97,833.09,15.13,40.45,160.1,6.71,1300.03,23.61,63.12,29.93,5.18551417
6/1/97,876.29,15.16,40.55,160.3,6.49,1365.74,23.63,63.2,31.26,5.591756154
7/1/97,925.29,15.22,40.58,160.5,6.22,1440.31,23.69,63.17,32.77,0.210744739
8/1/97,927.24,15.27,40.61,160.8,6.3,1440.66,23.73,63.1,32.59,1.054743109
9/1/97,937.02,15.33,40.64,161.2,6.21,1452.24,23.76,62.99,32.67,1.509039295
10/1/97,951.16,15.39,40.33,161.6,6.03,1470.5,23.79,62.36,32.9,-1.286849741
11/1/97,938.92,15.44,40.03,161.5,5.88,1452.48,23.89,61.92,32.34,2.497550377
12/1/97,962.37,15.5,39.72,161.3,5.81,1490.6,24.01,61.52,33.03,0.102871037
1/1/98,963.36,15.55,39.66,161.6,5.54,1489.37,24.04,61.31,32.86,6.26764657
2/1/98,1023.74,15.6,39.6,161.9,5.57,1579.78,24.07,61.11,34.71,5.185887042
3/1/98,1076.83,15.64,39.54,162.2,5.65,1658.63,24.09,60.9,36.3,3.28464103
4/1/98,1112.2,15.75,39.35,162.5,5.64,1709.95,24.21,60.5,37.28,-0.33986693
5/1/98,1108.42,15.85,39.16,162.8,5.65,1701,24.32,60.1,36.96,-0.002706555
6/1/98,1108.39,15.95,38.97,163,5.5,1698.87,24.45,59.73,36.8,4.347747634
7/1/98,1156.58,16.02,38.68,163.2,5.46,1770.56,24.52,59.21,38.26,-7.086409933
8/1/98,1074.62,16.08,38.38,163.4,5.34,1643.07,24.59,58.69,35.42,-5.023170981
9/1/98,1020.64,16.14,38.09,163.6,4.81,1558.63,24.65,58.17,33.53,1.159076658
10/1/98,1032.47,16.17,37.96,164,4.53,1572.85,24.63,57.83,33.77,10.84389861
11/1/98,1144.43,16.18,37.84,164,4.83,1743.41,24.65,57.64,37.37,3.986263904
12/1/98,1190.05,16.2,37.71,163.9,4.65,1814.01,24.69,57.48,38.82,4.93424646
1/1/99,1248.77,16.28,37.93,164.3,4.72,1898.89,24.76,57.68,40.58,-0.175372567
2/1/99,1246.58,16.37,38.16,164.5,5,1893.25,24.86,57.95,40.4,2.814099376
